placa,marca,modelo,anio,color,clase,fecha_matricula,anio_matricula,servicio,fecha_caducidad,polarizado
ABA4135,HYUNDAI,TUCSON IX 5P 4X2 2.0 TM STD,2011,PLOMO,VEHICULO UTILITARIO,16-10-2020,2020,USO PARTICULAR,15-10-2025,No existe registro de polarizado
GGZ0529,CHEVROLET,CAPRICE,1979,AZUL,AUTOMOVIL,10-12-2002,2002,USO PARTICULAR,31-12-2002,No existe registro de polarizado
GLX0111,MITSUBISHI,CANTER 6.0 TON,2002,BLANCO,CAMION,20-03-2025,2025,USO PARTICULAR,28-02-2030,No existe registro de polarizado
GLX0112,CHEVROLET,TAHOE 4X4 T/A,2002,AZUL,VEHICULO ESPECIAL,13-04-2023,2023,USO PARTICULAR,11-04-2028,No existe registro de polarizado
GQJ0477,CHEVROLET,AVEO EMOTION 1.6L GLS,2008,PLOMO,AUTOMOVIL,05-02-2025,2025,USO PARTICULAR,05-02-2030,No existe registro de polarizado
GQJ0478,CHEVROLET,AVEO ACTIVO 1.4L 4P AC,2008,PLATEADO,AUTOMOVIL,07-04-2022,2022,USO PARTICULAR,30-09-2027,No existe registro de polarizado
GQJ0479,CHEVROLET,AVEO ACTIVO 1.4L 5P AC,2008,AZUL,AUTOMOVIL,09-09-2020,2020,USO PARTICULAR,31-10-2025,No existe registro de polarizado
GQJ0480,CHEVROLET,SPARK 5P A/C 1.0L ACTIVO,2008,PLOMO,AUTOMOVIL,29-11-2022,2022,USO PARTICULAR,30-11-2027,No existe registro de polarizado
GQJ0481,CHEVROLET,SPARK 5P STD 1.0L ACTIVO,2007,ROJO,AUTOMOVIL,27-01-2023,2023,USO PARTICULAR,26-01-2028,No existe registro de polarizado
GQJ0482,CHEVROLET,LUV D-MAX C/D V6 4X4 T/M GLS,2008,PLOMO,CAMIONETA,04-04-2022,2022,USO PARTICULAR,31-03-2027,No existe registro de polarizado
GQJ0483,CHEVROLET,LUV D-MAX C/D V6 4X2 T/M,2008,PLOMO,CAMIONETA,06-05-2019,2019,USO PARTICULAR,04-05-2024,No existe registro de polarizado
GQJ0484,RENAULT,LOGAN 1.6 M/T,2008,PLOMO,AUTOMOVIL,30-08-2022,2022,USO PARTICULAR,29-08-2027,No existe registro de polarizado
GQJ0485,MAZDA,BT-50 2.6 CD ACTION 4X4,2008,PLATEADO,CAMIONETA,07-04-2021,2021,PARTICULAR,06-04-2026,No existe registro de polarizado
GTO8710,SUZUKI,SCROSS BOOSTERJET GL AC 1.4 5P 4X2 TA,2024,PLATEADO,VEHICULO UTILITARIO,29-08-2023,2023,USO PARTICULAR,27-08-2028,No existe registro de polarizado
GTO8711,SUZUKI,SWIFT ISG GLS AC 1.2 5P 4X2 TM HYBRID,2024,PLOMO,AUTOMOVIL,29-08-2023,2023,USO PARTICULAR,27-08-2028,No existe registro de polarizado
GTO8712,SUZUKI,SCROSS BOOSTERJET GL AC 1.4 5P 4X2 TA,2024,PLATEADO,VEHICULO UTILITARIO,29-08-2023,2023,USO PARTICULAR,27-08-2028,No existe registro de polarizado
GTO8713,SUZUKI,GRAND VITARA ISG GLX AC 1.5 5P 4X2 TA HYBRID,2024,BLANCO,VEHICULO UTILITARIO,29-08-2023,2023,USO PARTICULAR,27-08-2028,No existe registro de polarizado
GTO8714,SUZUKI,GRAND VITARA ISG GLX AC 1.5 5P 4X2 TM HYBRID,2024,PLATEADO,VEHICULO UTILITARIO,30-08-2023,2023,USO PARTICULAR,28-08-2028,No existe registro de polarizado
GTO8715,SUZUKI,S-CROSS BOOSTERJET GLX AC 1.4 5P 4X4 TA,2024,PLOMO,VEHICULO UTILITARIO,30-08-2023,2023,USO PARTICULAR,28-08-2028,No existe registro de polarizado
GTO8716,SUZUKI,VITARA GL PLUS AC 1.6 5P 4X2 TA,2023,PLOMO,VEHICULO UTILITARIO,31-08-2023,2023,USO PARTICULAR,29-08-2028,No existe registro de polarizado
GTO8717,SUZUKI,VITARA GL PLUS AC 1.6 5P 4X2 TM,2024,PLATEADO,VEHICULO UTILITARIO,31-08-2023,2023,USO PARTICULAR,29-08-2028,No existe registro de polarizado
GTO8718,SUZUKI,SWIFT ISG GLS AC 1.2 5P 4X2 TM HYBRID,2024,PLATEADO,AUTOMOVIL,31-08-2023,2023,USO PARTICULAR,29-08-2028,No existe registro de polarizado
GTO8719,SUZUKI,SCROSS BOOSTERJET GL AC 1.4 5P 4X2 TA,2024,PLATEADO,VEHICULO UTILITARIO,01-09-2023,2023,USO PARTICULAR,30-08-2028,No existe registro de polarizado
GTO8720,SUZUKI,GRAND VITARA ISG GLX AC 1.5 5P 4X2 TM HYBRID,2024,CAFE,VEHICULO UTILITARIO,01-09-2023,2023,USO PARTICULAR,30-08-2028,No existe registro de polarizado
GUZ0461,RANGER,110GM,2009,NEGRO,MOTOCICLETA,27-04-2010,2010,USO PARTICULAR,31-01-2014,No existe registro de polarizado
GUZ0465,SUZUKI,GN125,2008,ROJO,MOTOCICLETA,27-04-2010,2010,USO PARTICULAR,31-01-2014,No existe registro de polarizado
GUZ0469,LIFAN,LF150-9J,2009,ROJO,MOTOCICLETA,12-08-2013,2013,USO PARTICULAR,31-12-2014,No existe registro de polarizado
OBH0659,FORD,COURIER,1978,AZUL,CAMIONETA,09-09-2010,2010,USO PARTICULAR,08-09-2015,No existe registro de polarizado
PDI6591,CHEVROLET,D-MAX CRDI 3.0 CD 4X4 TM DIESEL,2019,VINO,VEHICULO ESPECIAL,06-03-2025,2025,USO PARTICULAR,05-03-2030,No existe registro de polarizado
PXZ0916,MAZDA,626 SDN 2.0L,2002,CREMA,AUTOMOVIL,19-03-2024,2024,USO PARTICULAR,18-03-2029,No existe registro de polarizado
GFM0944,CHEVROLET,CONDOR,1982,BLANCO,CAMIONETA,19-12-2005,2005,USO PARTICULAR,31-12-2005,No existe registro de polarizado
GFM0946,FORD,F 350,1977,AMARILLO,CAMIONETA,12-12-2007,2007,USO PARTICULAR,31-12-2007,No existe registro de polarizado
GFM0947,DATSUN,1500,1977,CELESTE,CAMIONETA,24-08-2022,2022,PARTICULAR,31-08-2027,No existe registro de polarizado
GFM0948,NISSAN,CABALL,1977,BLANCO,CAMIONETA,09-07-2003,2003,USO PARTICULAR,10-07-2003,No existe registro de polarizado
GFM0949,HINO,KB 222,1978,AMARILLO,VOLQUETA,11-11-2013,2013,USO PARTICULAR,31-12-2016,No existe registro de polarizado
GFM0950,FORD,F 800,1982,BLANCO,VEHICULO ESPECIAL,26-09-2007,2007,USO PARTICULAR,31-12-2007,No existe registro de polarizado
GFM0951,HINO,KB 212,1976,AMARILLO,VOLQUETA,04-11-1999,1999,USO PARTICULAR,31-12-1999,No existe registro de polarizado
GFM0952,FORD,F 100,1974,AZUL,CAMIONETA,18-02-2004,2004,USO PARTICULAR,19-02-2004,No existe registro de polarizado
GFM0953,MAZDA,B1600,1980,VERDE,CAMIONETA,24-06-2008,2008,USO PARTICULAR,31-12-2011,No existe registro de polarizado
GFM0954,MITSUBISHI,CANTER FE 211,1978,ROJO,CAMIONETA,06-12-2024,2024,USO PARTICULAR,31-05-2029,No existe registro de polarizado
GTR2892,RENAULT,KWID INTENS AC 1.0 5P 4X2 TM,2024,BLANCO,VEHICULO UTILITARIO,28-12-2023,2023,USO PARTICULAR,26-12-2028,No existe registro de polarizado
GTR2893,RENAULT,LOGAN CROSS INTENS AC 1.6 4P 4X2 TM,2024,PLOMO,AUTOMOVIL,18-01-2024,2024,USO PARTICULAR,16-01-2029,No existe registro de polarizado
GTR2894,NISSAN,QASHQAI ADVANCE CVT AC 1.3 5P 4X2 TA,2024,PLATEADO,VEHICULO UTILITARIO,18-01-2024,2024,USO PARTICULAR,16-01-2029,No existe registro de polarizado
GTR2895,RENAULT,LOGAN CROSS INTENS AC 1.6 4P 4X2 TM,2024,CREMA,AUTOMOVIL,18-01-2024,2024,USO PARTICULAR,16-01-2029,No existe registro de polarizado
GTR2896,NISSAN,X-TRAIL EPOWER EXCLUSIVE AC 5P 4X4 TA EV,2024,BLANCO,VEHICULO UTILITARIO,18-01-2024,2024,USO PARTICULAR,16-01-2029,No existe registro de polarizado
GTR2897,RENAULT,STEPWAY INTENS FASE II CVT AC 1.6 5P 4X2 TA,2024,PLATEADO,AUTOMOVIL,18-01-2024,2024,USO PARTICULAR,16-01-2029,No existe registro de polarizado
GTR2898,RENAULT,DUSTER INTENS AC 1.6 5P 4X2 TM,2024,CAFE,VEHICULO UTILITARIO,18-01-2024,2024,USO PARTICULAR,16-01-2029,No existe registro de polarizado
GTR2899,RENAULT,STEPWAY INTENS FASE II AC 1.6 5P 4X2 TM,2024,PLOMO,AUTOMOVIL,12-08-2024,2024,USO PARTICULAR,12-08-2029,No existe registro de polarizado
GTR2900,NISSAN,QASHQAI ADVANCE CVT AC 1.3 5P 4X2 TA,2024,PLATEADO,VEHICULO UTILITARIO,18-01-2024,2024,USO PARTICULAR,16-01-2029,No existe registro de polarizado
GTR2901,RENAULT,DUSTER INTENS AC 1.6 5P 4X2 TM,2024,BLANCO,VEHICULO UTILITARIO,19-01-2024,2024,USO PARTICULAR,17-01-2029,No existe registro de polarizado
GTR2902,RENAULT,LOGAN CROSS INTENS AC 1.6 4P 4X2 TM,2024,BLANCO,AUTOMOVIL,19-01-2024,2024,USO PARTICULAR,17-01-2029,No existe registro de polarizado
GTF8581,MG,MG5 AC 1.5 4P 4X2 TM,2020,ROJO,AUTOMOVIL,07-10-2020,2020,USO PARTICULAR,06-10-2025,No existe registro de polarizado
GTF8582,AUDI,Q3 SPORTBACK TFSI F3NA6Y AC 2.0 5P 4X4 TA,2020,NEGRO,VEHICULO UTILITARIO,29-01-2024,2024,PARTICULAR,27-01-2029,No existe registro de polarizado
GTF8583,AUDI,Q8 TFSI TIPTRONIC QUATT 4MN0X2 AC 3.0 5P 4X4 TA HYBRID,2020,NEGRO,VEHICULO ESPECIAL,14-03-2025,2025,PARTICULAR,13-03-2030,No existe registro de polarizado
GTF8584,MG,MGRX5 AC 1.5 5P 4X2 TA,2021,BLANCO,VEHICULO UTILITARIO,07-10-2020,2020,USO PARTICULAR,06-10-2025,No existe registro de polarizado
GTF8585,MG,MGRX8 AC 2.0 5P 4X4 TA,2021,BLANCO,VEHICULO UTILITARIO,07-10-2020,2020,USO PARTICULAR,06-10-2025,No existe registro de polarizado
GTF8586,MG,MGRX5 AC 1.5 5P 4X2 TM,2020,NEGRO,VEHICULO UTILITARIO,08-10-2020,2020,USO PARTICULAR,07-10-2025,No existe registro de polarizado
GTF8587,AUDI,Q7 TFSI TIPTRONIC QUATT 4MGAX2 AC 3.0 5P 4X4 TA HYBRID,2021,PLOMO,VEHICULO ESPECIAL,08-10-2020,2020,USO PARTICULAR,07-10-2025,No existe registro de polarizado
GTF8588,AUDI,Q3 SPORTBACK TFSI F3NA6Y AC 2.0 5P 4X4 TA,2020,PLOMO,VEHICULO UTILITARIO,21-01-2025,2025,USO PARTICULAR,30-09-2030,No existe registro de polarizado
GTF8589,MG,MG5 AC 1.5 4P 4X2 TM,2020,BLANCO,AUTOMOVIL,14-10-2020,2020,USO PARTICULAR,13-10-2025,No existe registro de polarizado
GTF8590,MG,MG5 AC 1.5 4P 4X2 TM,2020,PLOMO,AUTOMOVIL,15-10-2020,2020,USO PARTICULAR,14-10-2025,No existe registro de polarizado
GTF8591,MG,MG5 AC 1.5 4P 4X2 TM,2020,NEGRO,AUTOMOVIL,07-08-2023,2023,USO PARTICULAR,05-08-2028,No existe registro de polarizado
GBP9116,FOTON,VIEW CS2 BJ6549 AC 2.8 4P 4X2 TM DIESEL,2024,AMARILLO,CAMIONETA,13-03-2024,2024,USO PUBLICO,12-03-2029,No existe registro de polarizado
GBP9117,FOTON,VIEW CS2 BJ6549 AC 2.8 4P 4X2 TM DIESEL,2024,AMARILLO,CAMIONETA,14-03-2024,2024,USO PUBLICO,13-03-2029,No existe registro de polarizado
GBP9118,FOTON,VIEW CS2 BJ6549 AC 2.8 4P 4X2 TM DIESEL,2024,AMARILLO,CAMIONETA,14-03-2024,2024,USO PUBLICO,13-03-2029,No existe registro de polarizado
GBP9119,CHEVROLET,AVEO FAMILY STD 1.5 4P 4X2 TM,2019,AMARILLO,AUTOMOVIL,13-03-2024,2024,USO PUBLICO,31-05-2029,No existe registro de polarizado
GBP9120,FOTON,VIEW CS2 EXT BJ6609 AC 2.8 4P 4X2 TM DIESEL,2024,AMARILLO,CAMIONETA,14-03-2024,2024,USO PUBLICO,13-03-2029,No existe registro de polarizado
GBP9121,RENAULT,LOGAN ZEN FASE II AC 1.6 4P 4X2 TM,2024,AMARILLO,AUTOMOVIL,14-03-2024,2024,USO PUBLICO,30-04-2029,No existe registro de polarizado
GBP9122,CHERY,ARRIZO 5 PRO COMFORT AC 1.5 4P 4X2 TM,2024,AMARILLO,AUTOMOVIL,14-03-2024,2024,USO PUBLICO,31-08-2029,No existe registro de polarizado
GBP9123,CHEVROLET,SAIL LS AC 1.4 4P 4X2 TM,2019,AMARILLO,AUTOMOVIL,14-03-2024,2024,USO PUBLICO,31-03-2029,No existe registro de polarizado
GBP9124,JMC,JMC 520 TOURING AC 2.8 5P 4X2 TM DIESEL,2024,AMARILLO,CAMIONETA,19-03-2024,2024,USO PUBLICO,18-03-2029,No existe registro de polarizado
GBP9125,SOUEAST,DX3 CONFORT AC 1.5 5P 4X2 TM,2023,AMARILLO,VEHICULO UTILITARIO,14-03-2024,2024,USO PUBLICO,30-09-2029,No existe registro de polarizado
GBP9126,KIA,RIO LX AC 1.4 4P 4X2 TM,2024,AMARILLO,AUTOMOVIL,14-03-2024,2024,USO PUBLICO,13-03-2029,No existe registro de polarizado
GQA0232,RENAULT,LOGAN 1.6 M/T,2008,ROJO,AUTOMOVIL,27-10-2022,2022,PARTICULAR,26-10-2027,No existe registro de polarizado
GQA0233,LADA,2106,1993,ROJO,AUTOMOVIL,28-09-2007,2007,USO PARTICULAR,28-09-2007,No existe registro de polarizado
GQA0234,CHEVROLET,LUV D-MAX C/D DIESEL 4X4 T/M,2008,ROJO,CAMIONETA,14-05-2024,2024,USO PARTICULAR,31-05-2029,No existe registro de polarizado
GQA0235,CHEVROLET,LUV D-MAX C/S 4X2 T/M,2008,NEGRO,CAMIONETA,10-03-2021,2021,USO PARTICULAR,09-03-2026,No existe registro de polarizado
GQA0236,CHEVROLET,LUV D-MAX HEC 4X2 CS EDICION ESPECIAL,2007,AMARILLO,CAMIONETA,13-03-2024,2024,USO PUBLICO,31-07-2029,No existe registro de polarizado
GQA0238,FORD,CARGO 1721 4X2 CHASIS CORTO,2006,BLANCO,UNIDAD DE CARGA Y REMOLQUE,23-02-2021,2021,TRANSP. PUBLICO,22-02-2026,No existe registro de polarizado
GQA0239,QMC,YZK6460E1,2007,NEGRO,AUTOMOVIL,10-06-2024,2024,PARTICULAR,09-06-2029,No existe registro de polarizado
PXD0815,LADA,NIVA 3 PUERTAS,2001,VERDE,AUTOMOVIL,26-06-2023,2023,PARTICULAR,30-06-2028,No existe registro de polarizado
PXD0816,CHEVROLET,LUV C/S V6 4X4 T/M INYEC,2001,BLANCO,CAMIONETA,14-06-2011,2011,USO PARTICULAR,31-12-2015,No existe registro de polarizado
PXD0817,HYUNDAI,ACCENT VERNA,2001,PLOMO,AUTOMOVIL,24-08-2023,2023,USO PARTICULAR,31-08-2028,No existe registro de polarizado
PXD0818,CHEVROLET,LUV C/D V6 4X4 T/M INYEC,2001,PLATEADO,CAMIONETA,18-10-2022,2022,PARTICULAR,17-10-2027,No existe registro de polarizado
PXD0819,NISSAN,PATHFINDER SE A/T,2001,BLANCO,VEHICULO UTILITARIO,21-04-2021,2021,USO PARTICULAR,20-04-2026,No existe registro de polarizado
PXD0820,CHEVROLET,CORSA 3P STD 1.4L,2001,PLOMO,AUTOMOVIL,26-10-2023,2023,USO PARTICULAR,24-10-2028,No existe registro de polarizado
PXD0821,TOYOTA,LAND CRUISER PRADO GX SELECT,2001,VERDE,VEHICULO UTILITARIO,17-02-2025,2025,USO PARTICULAR,16-02-2030,No existe registro de polarizado
PXD0822,CHEVROLET,CORSA 4P STD 1.6L,2001,BLANCO,AUTOMOVIL,22-08-2018,2018,PARTICULAR,21-08-2023,No existe registro de polarizado
PXD0823,VOLKSWAGEN,GOL 1.8 TRENDLINE 4P DH,2001,BLANCO,AUTOMOVIL,25-04-2024,2024,USO PARTICULAR,30-04-2029,No existe registro de polarizado
PXD0824,RENAULT,MEGANE 1.6 M/T,2001,PLOMO,AUTOMOVIL,12-08-2024,2024,USO PARTICULAR,11-08-2029,No existe registro de polarizado
PXD0825,MITSUBISHI,MONTERO/5P/3.5/TA,2001,AZUL,VEHICULO UTILITARIO,28-11-2022,2022,USO PARTICULAR,27-11-2027,No existe registro de polarizado
PCC5105,CHEVROLET,AVEO ACTIVO 1.6L 4P STD,2010,AMARILLO,AUTOMOVIL,01-11-2023,2023,TRANSP. PUBLICO,30-06-2028,No existe registro de polarizado
PCC5106,KIA,SORENTO 2.5L LX DSL AT 4X2,2009,BLANCO,VEHICULO UTILITARIO,25-07-2023,2023,USO PARTICULAR,23-07-2028,No existe registro de polarizado
PCC5107,CHEVROLET,AVEO ACTIVO 1.6L 4P AC,2009,PLOMO,AUTOMOVIL,18-02-2021,2021,PARTICULAR,17-02-2026,No existe registro de polarizado
PCC5108,KIA,SPORTAGE L 2.0L 4X2 GSL,2010,BLANCO,VEHICULO UTILITARIO,17-12-2020,2020,USO PARTICULAR,16-12-2025,No existe registro de polarizado
PCC5109,MAZDA,BT-50 CD 4X2 ACTION GAS 2.6,2010,BLANCO,CAMIONETA,14-11-2024,2024,USO PARTICULAR,31-10-2029,No existe registro de polarizado
PCC5110,KIA,SPORTAGE L 2.0L 4X2 GSL,2010,ROJO,VEHICULO UTILITARIO,03-07-2018,2018,USO PARTICULAR,02-07-2023,No existe registro de polarizado
PCC5111,MITSUBISHI,OUTLANDER 2.4 2WD MT 5PAX,2009,BLANCO,VEHICULO UTILITARIO,12-02-2025,2025,USO PARTICULAR,28-02-2030,No existe registro de polarizado
PCC5112,HYUNDAI,TUCSON 5P 4X2 2.0 TM,2010,PLATEADO,VEHICULO UTILITARIO,04-06-2025,2025,USO PARTICULAR,03-06-2030,No existe registro de polarizado
PCC5113,HINO,FS1ELVD,2010,AMARILLO,VEHICULO ESPECIAL,30-06-2022,2022,TRANSP. PUBLICO,30-06-2027,No existe registro de polarizado
PCC5114,HINO,XZU413L-HKMQD,2010,BLANCO,CAMION,09-05-2023,2023,USO PARTICULAR,31-05-2028,No existe registro de polarizado
PCC5115,MAZDA,BT-50 CD 4X2 STD GAS 2.2 FL,2010,PLATEADO,CAMIONETA,21-06-2023,2023,USO PARTICULAR,30-06-2028,No existe registro de polarizado
PCW7842,KIA,SPORTAGE R GTI LX AC 2.0 5P 4X2 TA,2017,NEGRO,VEHICULO UTILITARIO,14-04-2023,2023,USO PARTICULAR,31-03-2028,No existe registro de polarizado
PCW7843,SUZUKI,GRAND VITARA SZ NEXT AC 2.0 5P 4X2 TM,2017,PLOMO,VEHICULO UTILITARIO,05-10-2022,2022,USO PARTICULAR,04-10-2027,No existe registro de polarizado
PCW7844,KIA,RIO R LX AC 1.4 4P 4X2 TM,2017,ROJO,AUTOMOVIL,26-07-2024,2024,USO PARTICULAR,25-07-2029,No existe registro de polarizado
PCW7845,SUZUKI,GRAND VITARA SZ AC 2.4 5P 4X2 TA,2018,PLOMO,JEEP,24-10-2024,2024,USO PARTICULAR,23-10-2029,No existe registro de polarizado
PCW7846,KIA,CERATO KOUP AC 2.0 2P 4X2 TA,2017,BLANCO,AUTOMOVIL,07-08-2017,2017,USO PARTICULAR,06-08-2022,No existe registro de polarizado
PCW7847,TOYOTA,HILUX 2.7 CD 4X2 TM,2018,PLATEADO,CAMIONETA,19-10-2023,2023,USO PARTICULAR,17-10-2028,No existe registro de polarizado
PCW7848,SUZUKI,GRAND VITARA SZ AC 2.0 5P 4X2 TM,2018,BLANCO,VEHICULO UTILITARIO,30-05-2024,2024,USO PARTICULAR,29-05-2029,No existe registro de polarizado
PCW7849,KIA,CERATO LX AC 1.6 4P 4X2 TM,2018,PLOMO,AUTOMOVIL,23-12-2022,2022,USO PARTICULAR,31-10-2027,No existe registro de polarizado
PCW7850,CHEVROLET,SAIL LS AC 1.5 4P 4X2 TM,2018,PLATEADO,AUTOMOVIL,07-08-2017,2017,USO PARTICULAR,06-08-2022,No existe registro de polarizado
PCW7851,KIA,RIO LX AC 1.4 4P 4X2 TM,2018,BLANCO,AUTOMOVIL,26-08-2022,2022,USO PARTICULAR,28-02-2027,No existe registro de polarizado
PCW7852,RENAULT,LOGAN DYNAMIQUE AC 1.6 4P 4X2 TM,2018,CREMA,AUTOMOVIL,17-03-2023,2023,USO PARTICULAR,15-03-2028,No existe registro de polarizado
PDR9003,CHANGAN,CS55 LUXURY AC 1.5 5P 4X2 TM,2020,AZUL,VEHICULO UTILITARIO,29-04-2021,2021,PARTICULAR,28-04-2026,No existe registro de polarizado
PDR9004,MITSUBISHI,L200 GLX AC 2.4 CD 4X4 TM DIESEL,2021,PLATEADO,CAMIONETA,04-05-2022,2022,PARTICULAR,03-05-2027,No existe registro de polarizado
PDR9005,CHEVROLET,D-MAX CRDI PREMIER AC 2.5 CD 4X4 TM DIESEL,2021,PLOMO,CAMIONETA,29-04-2021,2021,PARTICULAR,28-04-2026,No existe registro de polarizado
PDR9006,MITSUBISHI,L200 GLX AC 2.4 CD 4X4 TM DIESEL,2021,PLATEADO,CAMIONETA,29-04-2021,2021,PARTICULAR,28-04-2026,No existe registro de polarizado
PDR9007,MITSUBISHI,L200 HIRIDER AC 2.4 CD 4X2 TM DIESEL,2021,ANARANJADO,CAMIONETA,05-05-2025,2025,USO PARTICULAR,04-05-2030,No existe registro de polarizado
PDR9008,DONGFENG,RICH 6 AC 2.4 CD 4X2 TM,2022,PLATEADO,CAMIONETA,15-03-2022,2022,PARTICULAR,14-03-2027,No existe registro de polarizado
PDR9009,CHEVROLET,D-MAX CRDI HI RIDE AC 2.5 CD 4X2 TM DIESEL,2022,PLATEADO,CAMIONETA,29-01-2025,2025,PARTICULAR,29-01-2025,No existe registro de polarizado
PDR9010,CHEVROLET,BEAT LS AC 1.2 4P 4X2 TM,2020,AZUL,AUTOMOVIL,19-05-2023,2023,USO PARTICULAR,17-05-2028,No existe registro de polarizado
PDR9011,CHEVROLET,D-MAX CRDI PREMIER AC 2.5 CD 4X4 TM DIESEL,2021,PLATEADO,CAMIONETA,29-04-2021,2021,PARTICULAR,28-04-2026,No existe registro de polarizado
PDR9012,VOLKSWAGEN,POLO TRENDLINE AC 1.6 5P 4X2 TM,2021,PLOMO,AUTOMOVIL,29-04-2021,2021,USO PARTICULAR,28-04-2026,No existe registro de polarizado
PDR9013,HYUNDAI,GRAND I10 HB AC 1.2 5P 4X2 TM,2022,BLANCO,AUTOMOVIL,08-06-2022,2022,USO PARTICULAR,07-06-2027,No existe registro de polarizado
PYA0258,CHEVROLET,LUV C/D V6 4X2 T/M INYEC,2002,ROJO,CAMIONETA,20-09-2023,2023,USO PARTICULAR,30-09-2028,No existe registro de polarizado
PYA0259,HYUNDAI,HD 72 TRUCK,2002,BLANCO,VEHICULO ESPECIAL,22-03-2022,2022,USO PARTICULAR,31-10-2027,No existe registro de polarizado
PYA0260,TOYOTA,STOUT II 4X2 CS PLATON,2002,BLANCO,CAMIONETA,30-11-2016,2016,USO PARTICULAR,30-12-2021,No existe registro de polarizado
PYA0261,CHEVROLET,NKR AC 3.0 2P 4X2 TM DIESEL,2002,VERDE,CAMION,19-05-2025,2025,PARTICULAR,18-05-2030,No existe registro de polarizado
PYA0262,LADA,NIVA 3 PUERTAS,2002,VINO,VEHICULO UTILITARIO,24-08-2021,2021,USO PARTICULAR,31-03-2026,No existe registro de polarizado
PYA0263,TOYOTA,YARIS 1.5 TM,2001,NEGRO,AUTOMOVIL,27-11-2021,2021,USO PARTICULAR,26-11-2026,No existe registro de polarizado
MBK0556,NISSAN,JUNIOR,1979,ROJO,CAMIONETA,17-07-2024,2024,USO PARTICULAR,31-07-2029,No existe registro de polarizado
MBK0557,FORD,REGULAR VAN,1980,ROJO,CAMIONETA,21-12-2006,2006,USO PARTICULAR,20-12-2011,No existe registro de polarizado
MBK0562,FORD,F 250,1976,ROJO,CAMIONETA,09-03-2004,2004,USO PARTICULAR,31-03-2005,No existe registro de polarizado
MBK0563,TOYOTA,HILUX,1977,AZUL,CAMIONETA,03-05-2017,2017,USO PARTICULAR,02-05-2022,No existe registro de polarizado
MBK0565,FORD,F 350,1978,ROJO,CAMIONETA,17-12-2004,2004,USO PARTICULAR,30-06-2005,No existe registro de polarizado
MBK0566,NISSAN,JUNIOR,1977,AZUL,CAMIONETA,08-07-2019,2019,PARTICULAR,31-07-2024,No existe registro de polarizado
MBD5781,NISSAN,FRONTIER AC 2.5 CS 4X2 TA,2016,ROJO,CAMIONETA,06-03-2025,2025,USO PARTICULAR,28-02-2030,No existe registro de polarizado
MBD5782,BRILLIANCE,V3 AC 1.5 5P 4X2 TM,2019,ROJO,VEHICULO UTILITARIO,17-05-2024,2024,USO PARTICULAR,16-05-2029,No existe registro de polarizado
MBD5783,GREAT WALL,HAVAL H6 CONFORT AC 2.0 5P 4X2 TA,2020,NEGRO,JEEP,04-04-2025,2025,PARTICULAR,30-04-2030,No existe registro de polarizado
MBD5784,TOYOTA,YARIS HB AC 1.5 5P 4X2 TM,2020,BLANCO,AUTOMOVIL,12-02-2025,2025,USO PARTICULAR,31-05-2030,No existe registro de polarizado
MBD5785,TOYOTA,RUSH AC 1.5 5P 4X2 TM,2020,PLATEADO,JEEP,06-02-2020,2020,PARTICULAR,04-02-2025,No existe registro de polarizado
MBD5786,TOYOTA,RUSH AC 1.5 5P 4X2 TA,2020,VINO,JEEP,07-02-2020,2020,PARTICULAR,05-02-2025,No existe registro de polarizado
MBD5787,BRILLIANCE,V3 AC 1.5 5P 4X2 TM,2019,ROJO,VEHICULO ESPECIAL,07-02-2020,2020,PARTICULAR,05-02-2025,No existe registro de polarizado
MBD5788,HYUNDAI,NEW SANTA FE 5PAS AC 2.4 5P 4X2 TM,2019,NEGRO,VEHICULO UTILITARIO,19-04-2022,2022,USO PARTICULAR,18-04-2027,No existe registro de polarizado
MBD5789,BRILLIANCE,V3 AC 1.5 5P 4X2 TA,2019,PLATEADO,VEHICULO UTILITARIO,12-03-2025,2025,USO PARTICULAR,31-10-2030,No existe registro de polarizado
MBD5790,MAZDA,NEW CX-5 CORE AC 2.0 5P 4X2 TM,2020,ROJO,VEHICULO UTILITARIO,09-06-2025,2025,USO PARTICULAR,30-11-2030,No existe registro de polarizado
MBD5791,TOYOTA,RUSH AC 1.5 5P 4X2 TA,2020,COBRE,JEEP,12-02-2020,2020,PARTICULAR,10-02-2025,No existe registro de polarizado
MBC4432,KIA,CERATO STD AC 1.6 4P 4X2 TM,2015,AMARILLO,AUTOMOVIL,13-12-2024,2024,USO PUBLICO,12-12-2029,No existe registro de polarizado
MBC4433,KIA,CERATO STD AC 1.6 4P 4X2 TM,2015,AMARILLO,AUTOMOVIL,18-04-2023,2023,USO PUBLICO,30-04-2028,No existe registro de polarizado
MBC4434,KIA,CERATO STD AC 1.6 4P 4X2 TM,2015,AMARILLO,AUTOMOVIL,25-05-2023,2023,USO PUBLICO,31-05-2028,No existe registro de polarizado
MBC4435,KIA,SPORTAGE LX DAB AC 2.0 4P 4X2 TM,2015,ROJO,VEHICULO UTILITARIO,19-02-2021,2021,USO PARTICULAR,18-02-2026,No existe registro de polarizado
MBC4436,CHEVROLET,SAIL AC 1.4 4P 4X2 TM,2015,BLANCO,AUTOMOVIL,09-05-2023,2023,USO PARTICULAR,31-07-2028,No existe registro de polarizado
